"estrato","k","wmin2017","wmin2012"
"5","196",96.6282014680921,90.9827675812234
"5","204",96.6282014680921,90.9827675812234
"5","193",96.6282014680921,90.9827675812234
"5","185",96.6282014680921,90.9827675812234
"5","214",96.6282014680921,90.9827675812234
"5","213",96.6282014680921,90.9827675812234
"5","649",96.6282014680921,90.9827675812234
"5","278",96.6282014680921,90.9827675812234
"5","297",96.6282014680921,90.9827675812234
"5","181",96.6282014680921,90.9827675812234
"5","290",96.6282014680921,90.9827675812234
"5","309",96.6282014680921,90.9827675812234
"5","311",96.6282014680921,90.9827675812234
"5","192",96.6282014680921,90.9827675812234
"5","304",96.6282014680921,90.9827675812234
"5","301",96.6282014680921,90.9827675812234
"5","195",96.6282014680921,90.9827675812234
"5","259",96.6282014680921,90.9827675812234
"5","260",96.6282014680921,90.9827675812234
"5","197",96.6282014680921,90.9827675812234
"5","186",96.6282014680921,90.9827675812234
"5","253",96.6282014680921,90.9827675812234
"5","255",96.6282014680921,90.9827675812234
"5","157",96.6282014680921,90.9827675812234
"5","262",96.6282014680921,90.9827675812234
"5","310",96.6282014680921,90.9827675812234
"5","419",96.6282014680921,90.9827675812234
"5","199",96.6282014680921,90.9827675812234
"5","295",96.6282014680921,90.9827675812234
"5","307",96.6282014680921,90.9827675812234
"5","182",96.6282014680921,90.9827675812234
"5","287",96.6282014680921,90.9827675812234
"5","198",96.6282014680921,90.9827675812234
"5","308",96.6282014680921,90.9827675812234
"5","203",96.6282014680921,90.9827675812234
"6","228",96.6282014680921,90.9827675812234
"6","242",96.6282014680921,90.9827675812234
"6","245",96.6282014680921,90.9827675812234
"6","240",96.6282014680921,90.9827675812234
"6","239",96.6282014680921,90.9827675812234
"6","257",96.6282014680921,90.9827675812234
"6","244",96.6282014680921,90.9827675812234
"6","230",96.6282014680921,90.9827675812234
"6","232",96.6282014680921,90.9827675812234
"6","237",96.6282014680921,90.9827675812234
"6","148",96.6282014680921,90.9827675812234
"6","236",96.6282014680921,90.9827675812234
"6","234",96.6282014680921,90.9827675812234
"6","261",96.6282014680921,90.9827675812234
"6","418",96.6282014680921,90.9827675812234
"6","246",96.6282014680921,90.9827675812234
"6","256",96.6282014680921,90.9827675812234
"6","249",96.6282014680921,90.9827675812234
"6","229",96.6282014680921,90.9827675812234
"6","241",96.6282014680921,90.9827675812234
"6","258",96.6282014680921,90.9827675812234
"6","248",96.6282014680921,90.9827675812234
"6","231",96.6282014680921,90.9827675812234
"6","243",96.6282014680921,90.9827675812234
"6","250",96.6282014680921,90.9827675812234
"6","238",96.6282014680921,90.9827675812234
"6","235",96.6282014680921,90.9827675812234
