"ID_COMUNA_D","k","empsit","factor_expansion","empcom","fe_empcom","sum_fe_empcom","emp"
12,261,689.15928858,90.65311489,28919.7733696,2621667.53786711,18595778.5734341,1271.86208285772
12,234,90.65311489,90.65311489,28919.7733696,2621667.53786711,18595778.5734341,167.302772279403
12,228,133.25864985,90.65311489,28919.7733696,2621667.53786711,18595778.5734341,245.932437921939
12,232,690.22442322,90.65311489,28919.7733696,2621667.53786711,18595778.5734341,1273.82781760758
13,19,260.16586528,93.68063085,5902.118178,552914.154266293,18595778.5734341,496.178333902523
13,4,72.80460358,93.68063085,5902.118178,552914.154266293,18595778.5734341,138.850140335974
13,5,78.38546603,93.68063085,5902.118178,552914.154266293,18595778.5734341,149.493746595388
13,18,246.42407504,93.68063085,5902.118178,552914.154266293,18595778.5734341,469.970519980497
13,6,166.48523443,93.68063085,5902.118178,552914.154266293,18595778.5734341,317.514237119249
13,7,740.9647877,93.68063085,5902.118178,552914.154266293,18595778.5734341,1413.13955020865
13,21,313.145268,93.68063085,5902.118178,552914.154266293,18595778.5734341,597.218613512107
13,22,775.92299878,93.68063085,5902.118178,552914.154266293,18595778.5734341,1479.81050610526
13,33,206.06325343,93.68063085,5902.118178,552914.154266293,18595778.5734341,392.995913031835
13,34,376.81486717,93.68063085,5902.118178,552914.154266293,18595778.5734341,718.646824712728
13,35,1300.08328334,93.68063085,5902.118178,552914.154266293,18595778.5734341,2479.46884487676
13,36,165.13921236,93.68063085,5902.118178,552914.154266293,18595778.5734341,314.947155586974
13,37,637.63547776,93.68063085,5902.118178,552914.154266293,18595778.5734341,1216.07386369305
13,20,562.0837851,93.68063085,5902.118178,552914.154266293,18595778.5734341,1071.98458069965
14,282,181.4436,60.4812,9899.27461989,598720.008140491,18595778.5734341,223.408518364628
14,283,246.7464063,60.4812,9899.27461989,598720.008140491,18595778.5734341,303.814788966265
14,288,1049.38508863,60.4812,9899.27461989,598720.008140491,18595778.5734341,1292.09058817595
14,289,382.61936079,60.4812,9899.27461989,598720.008140491,18595778.5734341,471.112921545399
14,284,642.52269278,60.4812,9899.27461989,598720.008140491,18595778.5734341,791.127616568623
14,281,120.9624,60.4812,9899.27461989,598720.008140491,18595778.5734341,148.939012243085
14,264,549.97859149,60.4812,9899.27461989,598720.008140491,18595778.5734341,677.179587800538
14,265,181.4436,60.4812,9899.27461989,598720.008140491,18595778.5734341,223.408518364628
14,285,472.8067435,60.4812,9899.27461989,598720.008140491,18595778.5734341,582.159161514319
14,268,1203.81002671,60.4812,9899.27461989,598720.008140491,18595778.5734341,1482.23147280898
14,269,102.7235294,60.4812,9899.27461989,598720.008140491,18595778.5734341,126.481791060358
14,270,504.3886404,60.4812,9899.27461989,598720.008140491,18595778.5734341,621.045431372134
14,267,411.6156143,60.4812,9899.27461989,598720.008140491,18595778.5734341,506.815531253288
14,272,254.34322841,60.4812,9899.27461989,598720.008140491,18595778.5734341,313.168630996928
14,273,744.064017,60.4812,9899.27461989,598720.008140491,18595778.5734341,916.15377784834
14,274,853.19410082,60.4812,9899.27461989,598720.008140491,18595778.5734341,1050.52385392285
14,271,1391.56878708,60.4812,9899.27461989,598720.008140491,18595778.5734341,1713.41574419822
14,279,605.65819228,60.4812,9899.27461989,598720.008140491,18595778.5734341,745.736963842613
15,124,287.17598155,100.9878049,5166.4122796,521744.635325209,18595778.5734341,590.411382181748
15,123,201.9756098,100.9878049,5166.4122796,521744.635325209,18595778.5734341,415.246074220372
15,129,579.14400864,100.9878049,5166.4122796,521744.635325209,18595778.5734341,1190.67483561082
15,128,528.85852169,100.9878049,5166.4122796,521744.635325209,18595778.5734341,1087.29180304107
15,137,172.94850816,100.9878049,5166.4122796,521744.635325209,18595778.5734341,355.568621017279
15,121,544.87728069,100.9878049,5166.4122796,521744.635325209,18595778.5734341,1120.22512006494
15,135,100.9878049,100.9878049,5166.4122796,521744.635325209,18595778.5734341,207.623037110186
15,136,635.94935535,100.9878049,5166.4122796,521744.635325209,18595778.5734341,1307.46219047714
15,145,497.9985169,100.9878049,5166.4122796,521744.635325209,18595778.5734341,1023.84604415881
15,138,532.29126501,100.9878049,5166.4122796,521744.635325209,18595778.5734341,1094.34925512079
15,130,755.48109538,100.9878049,5166.4122796,521744.635325209,18595778.5734341,1553.21010945279
15,146,165.13921236,100.9878049,5166.4122796,521744.635325209,18595778.5734341,339.513318960824
15,148,163.58511917,100.9878049,5166.4122796,521744.635325209,18595778.5734341,336.318224777129
16,263,304.96649804,125.7840063,14741.25562335,1854214.19019737,18595778.5734341,780.935617323948
16,312,337.34147697,125.7840063,14741.25562335,1854214.19019737,18595778.5734341,863.839065142118
16,314,861.39795587,125.7840063,14741.25562335,1854214.19019737,18595778.5734341,2205.80407602901
16,311,125.12926099,125.7840063,14741.25562335,1854214.19019737,18595778.5734341,320.421742402991
16,316,299.37321081,125.7840063,14741.25562335,1854214.19019737,18595778.5734341,766.612741716617
16,313,62.89726028,125.7840063,14741.25562335,1854214.19019737,18595778.5734341,161.062644914866
16,319,60.4812,125.7840063,14741.25562335,1854214.19019737,18595778.5734341,154.87577672318
16,315,411.57586485,125.7840063,14741.25562335,1854214.19019737,18595778.5734341,1053.93298660011
16,419,179.96424604,125.7840063,14741.25562335,1854214.19019737,18595778.5734341,460.839110134165
16,318,719.70134437,125.7840063,14741.25562335,1854214.19019737,18595778.5734341,1842.95788969168
16,262,251.23647925,125.7840063,14741.25562335,1854214.19019737,18595778.5734341,643.347765339326
16,295,94.0472973,125.7840063,14741.25562335,1854214.19019737,18595778.5734341,240.829352229343
16,296,251.5680126,125.7840063,14741.25562335,1854214.19019737,18595778.5734341,644.196731383169
16,297,240.878915,125.7840063,14741.25562335,1854214.19019737,18595778.5734341,616.824882060241
16,298,2794.29319799,125.7840063,14741.25562335,1854214.19019737,18595778.5734341,7155.41902989689
