"","mean_2012","mean_adj_2012","mean_2017","mean_adj_2017"
"84",180.74453771583,0.692507807340345,180.932714393529,0.591283380371011
"85",180.169681426137,0.690305292820447,179.106019326365,0.58531378864825
"86",178.909233149206,0.685475989077418,176.489357157823,0.576762605090924
"87",183.337470459583,0.702442415553957,178.936432126244,0.584759582111907
"88",179.899970102646,0.68927191610209,183.616853896195,0.600055078092139
"89",183.114759395051,0.701589116456133,177.480270116792,0.580000882734615
"90",183.195829510543,0.701899729925451,179.954766871675,0.588087473436845
"91",182.793156729374,0.700356922334765,180.264049533203,0.589098201088898
"92",180.513404404775,0.691622239098756,180.376308351969,0.589465059973755
"93",181.582537823299,0.695718535721451,180.307901456662,0.589241508028306
"94",180.663585208611,0.692197644477436,180.661934344981,0.590398478251571
"95",182.848989076256,0.70057083937263,178.468890365929,0.583231667862514
