"","year","comuna","SIT","ta","percap","mode","strata","name_comuna","pop","men","women","pmen","pwomen","age_0_5","age_6_10","age_11_15","age_16_17","age_18_24","age_25_40","age_41_65","age_65m","page_0_5","page_6_10","page_11_15","page_16_17","page_18_24","page_25_40","page_41_65","page_65m","employees","laborincome","estratomoda"
"13",2012,1,150,227.961231664763,0.873414680707903,"public",2,"Popular",127696.35,60547.17,67149.18,47.4149574361366,52.5850425638634,12848.45,12722.93,13805.47,5035.76,14989.48,32363.15,28914.85,7016.26,10.0617206364943,9.96342495302332,10.8111704054188,3.94354263062335,11.7383778001485,25.3438332419055,22.6434428235419,5.49448750884422,52103.26,544764.086779151,1
"14",2012,1,212,190.996359776851,0.731786819068394,"Private",2,"Popular",127696.35,60547.17,67149.18,47.4149574361366,52.5850425638634,12848.45,12722.93,13805.47,5035.76,14989.48,32363.15,28914.85,7016.26,10.0617206364943,9.96342495302332,10.8111704054188,3.94354263062335,11.7383778001485,25.3438332419055,22.6434428235419,5.49448750884422,52103.26,544764.086779151,1
"15",2012,1,211,188.192406568996,0.721043703329488,"Private",1,"Popular",127696.35,60547.17,67149.18,47.4149574361366,52.5850425638634,12848.45,12722.93,13805.47,5035.76,14989.48,32363.15,28914.85,7016.26,10.0617206364943,9.96342495302332,10.8111704054188,3.94354263062335,11.7383778001485,25.3438332419055,22.6434428235419,5.49448750884422,52103.26,544764.086779151,1
"16",2012,1,223,180.654669367306,0.692163484165925,"public",2,"Popular",127696.35,60547.17,67149.18,47.4149574361366,52.5850425638634,12848.45,12722.93,13805.47,5035.76,14989.48,32363.15,28914.85,7016.26,10.0617206364943,9.96342495302332,10.8111704054188,3.94354263062335,11.7383778001485,25.3438332419055,22.6434428235419,5.49448750884422,52103.26,544764.086779151,1
"17",2012,1,53,175.013934620733,0.670551473642655,"Private",1,"Popular",127696.35,60547.17,67149.18,47.4149574361366,52.5850425638634,12848.45,12722.93,13805.47,5035.76,14989.48,32363.15,28914.85,7016.26,10.0617206364943,9.96342495302332,10.8111704054188,3.94354263062335,11.7383778001485,25.3438332419055,22.6434428235419,5.49448750884422,52103.26,544764.086779151,1
"18",2012,1,223,177.938346083127,0.681756115261022,"Private",2,"Popular",127696.35,60547.17,67149.18,47.4149574361366,52.5850425638634,12848.45,12722.93,13805.47,5035.76,14989.48,32363.15,28914.85,7016.26,10.0617206364943,9.96342495302332,10.8111704054188,3.94354263062335,11.7383778001485,25.3438332419055,22.6434428235419,5.49448750884422,52103.26,544764.086779151,1
"19",2012,1,212,166.52481296177,0.638026103301802,"public",2,"Popular",127696.35,60547.17,67149.18,47.4149574361366,52.5850425638634,12848.45,12722.93,13805.47,5035.76,14989.48,32363.15,28914.85,7016.26,10.0617206364943,9.96342495302332,10.8111704054188,3.94354263062335,11.7383778001485,25.3438332419055,22.6434428235419,5.49448750884422,52103.26,544764.086779151,1
"20",2012,1,200,189.875124605883,0.727490898873116,"Private",2,"Popular",127696.35,60547.17,67149.18,47.4149574361366,52.5850425638634,12848.45,12722.93,13805.47,5035.76,14989.48,32363.15,28914.85,7016.26,10.0617206364943,9.96342495302332,10.8111704054188,3.94354263062335,11.7383778001485,25.3438332419055,22.6434428235419,5.49448750884422,52103.26,544764.086779151,1
"21",2012,1,233,123.420040107622,0.472873716887439,"public",2,"Popular",127696.35,60547.17,67149.18,47.4149574361366,52.5850425638634,12848.45,12722.93,13805.47,5035.76,14989.48,32363.15,28914.85,7016.26,10.0617206364943,9.96342495302332,10.8111704054188,3.94354263062335,11.7383778001485,25.3438332419055,22.6434428235419,5.49448750884422,52103.26,544764.086779151,1
"22",2012,1,285,154.984197712661,0.593809186638547,"public",1,"Popular",127696.35,60547.17,67149.18,47.4149574361366,52.5850425638634,12848.45,12722.93,13805.47,5035.76,14989.48,32363.15,28914.85,7016.26,10.0617206364943,9.96342495302332,10.8111704054188,3.94354263062335,11.7383778001485,25.3438332419055,22.6434428235419,5.49448750884422,52103.26,544764.086779151,1
