"k","tapub2017","tapub2017_percap"
"166",255.374650192668,0.834557680368197
"167",239.120343767442,0.781439031919746
"168",228.921317767351,0.74810888159265
"169",248.421853345359,0.811836122043657
"17",139.495299913936,0.455866993182797
"170",266.835838662529,0.872012544648788
"171",254.549127417902,0.831859893522555
"172",253.896272427763,0.829726380482885
"173",247.949774199031,0.810293379735397
"174",233.79384348783,0.764032168260884
"175",247.273141053079,0.808082160304181
"176",245.187728070233,0.801267085196841
"177",239.808319446086,0.783687318451262
"178",234.030656357996,0.764806066529397
"179",247.780199114597,0.809739212792801
"18",150.670225303776,0.492386357201883
"180",223.598158573578,0.73071293651496
"181",246.392650296765,0.805204739531912
"182",234.310033667556,0.765719064273058
"183",236.819834006608,0.773921026165384
"184",214.233921432883,0.700110854355826
"185",212.267230272133,0.693683759059259
"186",207.072745955834,0.676708320117105
"187",189.286242623089,0.618582492232317
"188",215.215748176818,0.703319438486333
"189",229.695663252257,0.750639422392998
"19",160.27104967778,0.523761600254183
"190",211.902275454256,0.692491096255739
"191",195.992942653852,0.640499812594288
"192",183.248068287933,0.598849896365793
"193",215.308403781541,0.703622234580201
"194",207.140106335906,0.676928452078123
"195",206.622187529113,0.675235906957887
"196",197.906351450706,0.646752782518648
"197",200.355288405017,0.654755844460841
"198",195.276618029874,0.638158882450569
"199",183.953307987367,0.601154601265904
"20",166.539606403918,0.544247079751367
"200",209.182630285617,0.683603366946461
"201",211.147945805409,0.690025966684345
"202",202.191307852914,0.660755908016059
"203",185.137027266743,0.605022964923995
"204",176.970983136039,0.578336546196205
"205",148.994311009624,0.486909513103346
"206",181.895606285045,0.59443008589884
"207",181.048026720149,0.591660218039703
"208",209.156558374576,0.683518164622799
"209",202.729930285007,0.662516112042506
"21",164.949405136037,0.539050343581821
"210",189.741991998141,0.62007186927497
"211",174.414382251054,0.569981641343313
"212",178.00662551053,0.581720998400423
"213",164.95024861764,0.539053100057647
"214",151.460404762962,0.494968643016217
"216",165.241240527459,0.540004054011304
"217",174.540939289861,0.570395226437454
"218",209.91665498741,0.686002140481731
"219",200.059098234725,0.653787902727859
"22",173.575702884575,0.567240859099918
"220",172.719237259651,0.564441951828924
"221",155.721501341273,0.508893795232918
"222",166.899654834149,0.54542370860833
"223",167.064720906981,0.545963140218891
"224",152.045804980751,0.496881715623368
"225",145.604588201189,0.475831987585584
"226",145.530877742471,0.475591103733564
"227",137.202595946599,0.448374496557513
"228",152.170466047088,0.497289104729046
"229",182.96565607314,0.597926980631176
"230",170.878843466607,0.558427593028128
"231",162.524917989145,0.531127182971063
"232",159.682591305895,0.521838533679395
"233",130.615037157207,0.42684652665754
"234",196.996707083947,0.64378008850963
"235",195.757147989287,0.639729241795054
"236",138.553770472182,0.452790099582296
"237",118.87725659062,0.388487766636014
"238",127.398932105269,0.416336379428984
"239",169.612404906562,0.554288904923405
"24",148.257371132204,0.484501212850341
"240",171.361609909494,0.560005261142136
"242",139.023699425592,0.454325815116315
"243",143.445306313936,0.468775510829855
"244",141.736906896209,0.463192506196761
"245",178.604812372013,0.58367585742488
"246",188.487381081313,0.615971833599061
"247",205.653912812373,0.672071610497951
"248",185.838507331059,0.607315383434834
"249",166.636039142168,0.544562219418849
"250",151.224157593394,0.494196593442464
"251",152.084463614335,0.497008051027238
"252",237.41178138563,0.77585549472428
"253",198.817228298711,0.649729504244153
"254",224.627338462584,0.734076269485568
"255",222.854633949063,0.728283117480599
"256",205.228644922514,0.670681846152008
"257",168.239837999883,0.549803392156481
"258",159.369388753889,0.520814995927741
"259",207.403569925299,0.677789444200325
"26",122.98354915301,0.401907023375849
"260",206.260237443836,0.674053063541948
"261",171.729685477114,0.561208122474229
"262",209.400562265557,0.684315562959336
"263",175.19329760858,0.57252711636791
"264",229.357732439035,0.749535073330181
"265",212.547953112383,0.694601153962036
"267",204.703349894183,0.668965195732624
"268",188.952556925345,0.617492016095898
"269",194.740069519156,0.636405455944955
"270",188.33903900011,0.615487055555915
"271",186.611645298069,0.609841978098264
"272",211.344688956285,0.690668918157796
"273",186.591457258883,0.609776004113997
"274",156.133103514317,0.510238900373585
"275",207.959301575364,0.679605560703803
"276",206.993666788896,0.67644989146698
"277",216.576200261429,0.707765360331467
"278",214.08343406914,0.699619065585425
"279",219.351298318746,0.716834308231197
"28",216.24963765458,0.706698162269868
"280",213.102683935792,0.696413999790169
"281",203.835977265124,0.666130644657267
"282",194.339468901125,0.635096303598448
"283",161.17268091108,0.52670810755255
"284",178.35593391238,0.582862529125424
"285",142.323983592386,0.465111057491458
"286",207.459911226309,0.67797356609905
"288",179.4804649358,0.586537467110458
"289",161.132273531801,0.526576057293468
"29",148.107464797721,0.484011322868371
"290",216.564368629846,0.707726694868777
"291",221.45062216642,0.723694843681113
"292",195.949013043886,0.640356251777404
